# TELESCOPE = UH88
# INSTRUMENT = SNIFS
# OBJECT = 2024fyi
# CHANNEL = B+R
# EXPNUM = 24_100_027_003
# MJD-OBS = 60409.361522
# DATE-OBS = 2024-04-09T08:40:37
# EXPTIME = 1800.0s
# AIRMASS = 1.05
# FLUXCAL_RMS_B = 0.082 mag
# FLUXCAL_RMS_R = 0.069 mag
# RA = 12:29:38.33
# DEC = 32:45:21.92
# wl fl err
# [A] [erg/s/cm2/A]
3988.480000 4.031091e-16 2.380194e-17
3991.480000 4.074416e-16 2.416799e-17
3994.480000 4.502642e-16 2.177122e-17
3997.480000 4.793023e-16 2.126514e-17
4000.480000 4.468319e-16 2.399877e-17
4003.480000 3.816179e-16 2.353470e-17
4006.480000 4.004011e-16 2.067472e-17
4009.480000 3.859883e-16 2.065143e-17
4012.480000 3.745703e-16 2.289483e-17
4015.480000 4.176294e-16 2.258537e-17
4018.480000 4.265152e-16 2.023573e-17
4021.480000 4.440164e-16 2.103882e-17
4024.480000 4.764811e-16 2.302771e-17
4027.480000 4.470735e-16 2.180217e-17
4030.480000 4.994546e-16 2.022703e-17
4033.480000 4.976379e-16 2.186003e-17
4036.480000 4.486676e-16 2.287247e-17
4039.480000 4.587829e-16 2.131146e-17
4042.480000 4.578508e-16 1.991496e-17
4045.480000 4.086269e-16 2.145826e-17
4048.480000 3.934886e-16 2.237939e-17
4051.480000 4.718610e-16 2.103293e-17
4054.480000 4.980475e-16 2.044029e-17
4057.480000 5.251895e-16 2.281826e-17
4060.480000 4.562476e-16 2.290923e-17
4063.480000 3.696656e-16 2.000074e-17
4066.480000 3.739688e-16 1.958167e-17
4069.480000 4.508504e-16 2.278476e-17
4072.480000 5.307927e-16 2.321703e-17
4075.480000 4.711044e-16 1.995240e-17
4078.480000 4.155616e-16 1.985207e-17
4081.480000 4.118226e-16 2.206630e-17
4084.480000 4.632779e-16 2.203990e-17
4087.480000 4.971142e-16 2.006087e-17
4090.480000 5.501037e-16 2.116618e-17
4093.480000 4.827146e-16 2.301833e-17
4096.480000 4.512766e-16 2.215004e-17
4099.480000 4.079645e-16 1.977373e-17
4102.480000 4.058529e-16 2.086207e-17
4105.480000 4.227230e-16 2.254363e-17
4108.480000 4.303086e-16 2.125223e-17
4111.480000 4.407822e-16 1.990201e-17
4114.480000 4.894271e-16 2.161472e-17
4117.480000 4.991560e-16 2.231459e-17
4120.480000 4.564576e-16 1.998668e-17
4123.480000 4.140357e-16 1.870267e-17
4126.480000 4.375853e-16 2.057747e-17
4129.480000 4.502087e-16 2.070461e-17
4132.480000 4.502229e-16 1.834200e-17
4135.480000 4.276547e-16 1.773360e-17
4138.480000 4.310269e-16 2.007302e-17
4141.480000 4.957070e-16 2.023713e-17
4144.480000 5.002923e-16 1.791239e-17
4147.480000 4.869860e-16 1.782935e-17
4150.480000 4.588357e-16 1.989323e-17
4153.480000 4.875559e-16 1.972892e-17
4156.480000 4.716553e-16 1.740770e-17
4159.480000 4.670289e-16 1.787748e-17
4162.480000 4.870830e-16 1.984138e-17
4165.480000 4.589457e-16 1.903492e-17
4168.480000 4.517272e-16 1.741907e-17
4171.480000 5.016949e-16 1.862810e-17
4174.480000 5.233553e-16 2.011124e-17
4177.480000 5.334968e-16 1.902661e-17
4180.480000 5.058160e-16 1.753234e-17
4183.480000 4.846463e-16 1.897495e-17
4186.480000 5.013383e-16 2.003991e-17
4189.480000 4.560466e-16 1.825582e-17
4192.480000 4.621313e-16 1.754477e-17
4195.480000 4.643629e-16 1.962496e-17
4198.480000 4.563072e-16 2.027135e-17
4201.480000 4.974546e-16 1.855257e-17
4204.480000 4.839443e-16 1.799227e-17
4207.480000 5.036976e-16 2.057788e-17
4210.480000 4.759608e-16 2.081474e-17
4213.480000 4.461988e-16 1.831049e-17
4216.480000 4.605726e-16 1.825854e-17
4219.480000 4.651179e-16 2.032762e-17
4222.480000 4.601288e-16 2.000741e-17
4225.480000 4.393734e-16 1.743943e-17
4228.480000 4.568405e-16 1.776473e-17
4231.480000 4.813096e-16 1.949791e-17
4234.480000 4.658565e-16 1.882398e-17
4237.480000 4.598878e-16 1.686869e-17
4240.480000 4.581057e-16 1.790054e-17
